0 3208.54
1 3216.05
2 3230.34
3 3237.84
4 3252.12
5 3259.62
6 3273.93
7 3281.42
8 3295.73
9 3303.22
10 3318.32
11 3327.02
12 3342.11
13 3350.82
14 3365.92
15 3374.62
16 3389.72
17 3398.42
18 3413.52
19 3422.22
20 3438.72
21 3449.43
22 3465.91
23 3476.63
24 3493.12
25 3503.83
26 3520.32
27 3531.03
28 3602.33
29 3660.11
30 3717.92
31 3775.76
32 3833.53
33 3891.33
34 3949.17
35 4006.95
36 4064.75
37 4122.54
38 4180.36
39 4238.11
40 4422.35
41 4509.02
42 4595.74
43 4683.52
44 4769.67
45 4856.83
46 4944.14
47 5030.99
48 5117.7
49 5205.24
50 5292.61
51 5378.05
